Project ID,CARB Issuance ID,OPR Project ID,Project Type,Early Action/ Compliance,Reporting Period Start Date,Reporting Period End Date,Vintage,ARB Offset Credits Issued,Forest Buffer Account Contribution,Issuance Date,Invalidation Timeframe,Date Invalidation Period Reduced,Start of Invalidation Timeframe,Project Name,Project Operator,Verification Body,State,Provides DEBS,"Section 95989(b) Documentation, if applicable",Project Documentation,Retired Buffer Pool,Retired Voluntarily,Retired 1st Compliance Period (CA),Retired 2nd Compliance Period (CA),Retired 3rd Compliance Period (CA),Retired 4th Compliance Period (CA),Retired for Compliance (Quebec),Retired Intentional Reversal,Comments,Vintage remaining,Issuance total from registry,Issuance Year,Registry,ARB Source Data,Updated 11-1-23,Total ARB Credits Issued:,"220,439,110",Total ARB Credits Retired:,"163,158,520"
ACR192,CAFR5029-A,ACR192,Forest,COP,5/13/13,12/6/13,2013,"201,277"," 	38,726 ",1/13/15,8 years,n/a,12/6/13,Green Assets – Brookgreen Gardens Improved Forest Management Project,Brookgreen Gardens,"Environmental Services, Inc.",SC,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=192," 	38,726 ",0,"160,000",0,0,0,0,0,"On 4/11/2023, CARB retired all 38,726 credits from the buffer pool for the CAFR0070/CAFR5063 uncompensated early project termination (pursuant to section 95983(c)(4)(C))."," 	41,277 "," 	162,671 ",2015,ACR,,,,,,
ACR192,CAFR5029-B,ACR192,Forest,COP,12/7/13,12/6/14,2014,"6,412"," 	1,126 ",10/13/20,8 years,n/a,12/6/14,Green Assets – Brookgreen Gardens Improved Forest Management Project,Brookgreen Gardens,"Aster Global Environmental Solutions, Inc.",SC,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=192, 	-   ,0,0,0,"5,286",0,0,0,n/a," 	1,126 "," 	5,286 ",2020,ACR,,,,,,
ACR192,CAFR5029-C,ACR192,Forest,COP,12/7/14,12/6/15,2015,"6,569"," 	1,153 ",10/13/20,8 years,n/a,12/6/15,Green Assets – Brookgreen Gardens Improved Forest Management Project,Brookgreen Gardens,"Aster Global Environmental Solutions, Inc.",SC,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=192, 	-   ,0,0,0,"5,416",0,0,0,n/a," 	1,153 "," 	5,416 ",2020,ACR,,,,,,
ACR192,CAFR5029-D,ACR192,Forest,COP,12/7/15,12/6/16,2016,"6,730"," 	1,181 ",10/13/20,8 years,n/a,12/6/16,Green Assets – Brookgreen Gardens Improved Forest Management Project,Brookgreen Gardens,"Aster Global Environmental Solutions, Inc.",SC,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=192, 	-   ,0,0,0,"5,549",0,0,0,n/a," 	1,181 "," 	5,549 ",2020,ACR,,,,,,
ACR192,CAFR5029-E,ACR192,Forest,COP,12/7/16,12/6/17,2017,"6,893"," 	1,210 ",10/13/20,8 years,n/a,12/6/17,Green Assets – Brookgreen Gardens Improved Forest Management Project,Brookgreen Gardens,"Aster Global Environmental Solutions, Inc.",SC,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=192, 	-   ,0,0,0,"5,683",0,0,0,n/a," 	1,210 "," 	5,683 ",2020,ACR,,,,,,
ACR192,CAFR5029-F,ACR192,Forest,COP,12/7/17,12/6/18,2018,"7,060"," 	1,239 ",10/13/20,8 years,n/a,12/6/18,Green Assets – Brookgreen Gardens Improved Forest Management Project,Brookgreen Gardens,"Aster Global Environmental Solutions, Inc.",SC,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=192, 	-   ,0,0,0,"5,821",0,0,0,n/a," 	1,239 "," 	5,821 ",2020,ACR,,,,,,
ACR192,CAFR5029-G,ACR192,Forest,COP,12/7/18,12/6/19,2019,"14,435"," 	2,534 ",10/13/20,8 years,n/a,12/6/19,Green Assets – Brookgreen Gardens Improved Forest Management Project,Brookgreen Gardens,"Aster Global Environmental Solutions, Inc.",SC,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=192, 	-   ,0,0,0,"11,901",0,0,0,n/a," 	2,534 "," 	11,901 ",2020,ACR,,,,,,
ACR193,CAOD5035-A,ACR193,ODS,COP,1/26/14,1/30/14,2014,"84,418",n/a,4/22/14,8 years,n/a,1/30/14,EOS ARB ODS 2013-7,"EOS Climate, Inc.",NSF International,AR,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=193,n/a,0,"69,554","14,864",0,0,0,0,n/a, 	-   ," 	84,418 ",2014,ACR,,,,,,
ACR195,CAOD5049-A,ACR195,ODS,COP,3/6/14,4/1/14,2014,"122,080",n/a,11/25/14,3 years,5/9/17,4/1/14,EOS ARB ODS 2014-1,"EOS Climate, Inc.",NSF International,AR,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=195,n/a,0,"122,080",0,0,0,0,0,n/a, 	-   ," 	122,080 ",2014,ACR,,,,,,
ACR196,CAOD5027-A,ACR196,ODS,COP,12/19/12,11/1/13,2013,"56,124",n/a,4/21/15,3 years,2/21/17,11/1/13,RR ACR 2013,"RapRec Refrigerants, Inc.","First Environment of California, Inc.",OH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=196,n/a,0,"12,220","43,904",0,0,0,0,n/a, 	-   ," 	56,124 ",2015,ACR,,,,,,
ACR198,CAOD5031-A,ACR198,ODS,COP,12/7/13,12/15/13,2013,"88,044",n/a,3/25/14,3 years,12/22/15,12/15/13,Wabashco Clean Sweep 2,"Wabashco, LLC","Ruby Canyon Engineering, Inc.",OH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=198,n/a,0,"88,044",0,0,0,0,0,n/a, 	-   ," 	88,044 ",2014,ACR,,,,,,
ACR199,CAFR5034-A,ACR199,Forest,COP,7/8/13,1/7/14,2014,"1,442,576"," 	276,975 ",12/23/14,3 years,12/24/18,1/7/14,Finite Carbon – The Forestland Group CT Lakes,Connecticut Lakes Realty Trust,"Environmental Services, Inc.",NH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=199," 	276,975 ",0,"816,044","25,557",0,0,"324,000",0,"On 1/24/2023, CARB retired 202,212 of 276,975 credits from the buffer pool for the CAFR5148-A unintentional reversal; on 4/11/2023, CARB retired the remaining 74,763 credits from the buffer pool for the CAFR0070/CAFR5063 uncompensated early project termination (pursuant to section 95983(c)(4)(C))."," 	276,975 "," 	1,165,601 ",2014,ACR,,,,,,
ACR199,CAFR5034-B,ACR199,Forest,COP,1/8/14,1/7/15,2015,"121,463"," 	23,321 ",12/24/18,3 years,9/13/22,1/7/15,Finite Carbon – The Forestland Group CT Lakes,Connecticut Lakes Realty Trust,"S&A Carbon, LLC",NH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=199, 	-   ,0,0,0,"88,328",0,0,0,n/a," 	33,135 "," 	98,142 ",2018,ACR,,,,,,
ACR199,CAFR5034-C,ACR199,Forest,COP,1/8/15,1/7/16,2016,"301,296"," 	57,849 ",12/24/18,3 years,9/13/22,1/7/16,Finite Carbon – The Forestland Group CT Lakes,Connecticut Lakes Realty Trust,"S&A Carbon, LLC",NH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=199, 	-   ,0,0,0,"119,113",0,"100,000",0,n/a," 	82,183 "," 	243,447 ",2018,ACR,,,,,,
ACR199,CAFR5034-D,ACR199,Forest,COP,1/8/16,1/7/17,2017,"124,800"," 	23,962 ",9/13/22,8 years,n/a,1/7/17,Finite Carbon – The Forestland Group CT Lakes,Connecticut Lakes Realty Trust,"GHD Services, Inc.",NH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=199, 	-   ,"90,755",0,0,0,0,0,0,"90,755 credits were voluntarily retired in December 2022."," 	34,045 "," 	131,647 ",2022,ACR,,,,,,
ACR199,CAFR5034-E,ACR199,Forest,COP,1/8/17,1/7/18,2018,"87,187"," 	16,740 ",9/13/22,8 years,n/a,1/7/18,Finite Carbon – The Forestland Group CT Lakes,Connecticut Lakes Realty Trust,"GHD Services, Inc.",NH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=199, 	-   ,"62,230",0,0,0,0,0,0,"62,230 credits were voluntarily retired in December 2022."," 	24,957 "," 	84,482 ",2022,ACR,,,,,,
ACR199,CAFR5034-F,ACR199,Forest,COP,1/8/18,1/7/19,2019,"74,349"," 	14,276 ",9/13/22,8 years,n/a,1/7/19,Finite Carbon – The Forestland Group CT Lakes,Connecticut Lakes Realty Trust,"GHD Services, Inc.",NH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=199, 	-   ,"51,856",0,0,0,0,0,0,"51,856 credits were voluntarily retired in December 2022."," 	22,493 "," 	60,432 ",2022,ACR,,,,,,
