Date,Open,High,Low,Close,Volume,Project Name,Credits Issued
2020-10-01,20.71999931335449,20.71999931335449,20.5,15.653703689575195,3300,GS1247 VPA189 Southern Ethiopia Efficient Cook Stoves,973.0
2020-10-02,20.63999938964844,20.98500061035156,20.628999710083008,15.726373672485352,8100,Ideal Family Farms Digester Project,5171.0
2020-10-02,20.63999938964844,20.98500061035156,20.628999710083008,15.726373672485352,8100,Ideal Family Farms Digester Project,5676.0
2020-10-02,20.63999938964844,20.98500061035156,20.628999710083008,15.726373672485352,8100,Lawton GCCS,31435.0
2020-10-05,20.959999084472656,20.959999084472656,20.857999801635746,15.809643745422363,1700,Scenic View Dairy Methane Reduction Project,20248.0
2020-10-05,20.959999084472656,20.959999084472656,20.857999801635746,15.809643745422363,1700,Sunnyside Farms COP,31207.0
2020-10-09,20.559999465942383,20.57999992370605,20.21999931335449,15.480354309082031,7000,Orange County NC Landfill Gas Project,12812.0
2020-10-09,20.559999465942383,20.57999992370605,20.21999931335449,15.480354309082031,7000,Orange County NC Landfill Gas Project,14468.0
2020-10-12,20.34000015258789,20.520000457763672,20.280000686645508,15.450074195861816,800,Gaston County Landfill Gas Destruction Project,13668.0
2020-10-12,20.34000015258789,20.520000457763672,20.280000686645508,15.450074195861816,800,Gaston County Landfill Gas Destruction Project,100424.0
2020-10-12,20.34000015258789,20.520000457763672,20.280000686645508,15.450074195861816,800,Gaston County Landfill Gas Destruction Project,12174.0
2020-10-20,19.770000457763672,19.8700008392334,19.57999992370605,14.821775436401367,11000,Bluesource - Carroll Avoided Grassland Conversion Project,5535.0
2020-10-20,19.770000457763672,19.8700008392334,19.57999992370605,14.821775436401367,11000,Bluesource - Carroll Avoided Grassland Conversion Project,6602.0
2020-10-20,19.770000457763672,19.8700008392334,19.57999992370605,14.821775436401367,11000,Sudbury Road Landfill Gas Destruction Project,9694.0
2020-10-20,19.770000457763672,19.8700008392334,19.57999992370605,14.821775436401367,11000,Sudbury Road Landfill Gas Destruction Project,2966.0
2020-10-20,19.770000457763672,19.8700008392334,19.57999992370605,14.821775436401367,11000,Angelina County Landfill,16592.0
2020-10-20,19.770000457763672,19.8700008392334,19.57999992370605,14.821775436401367,11000,Angelina County Landfill,15793.0
2020-10-20,19.770000457763672,19.8700008392334,19.57999992370605,14.821775436401367,11000,VPA 19 - GHG Emission Reduction through use of Bondhu Chula (Improved Cook Stoves) in Bangladesh,185.0
2020-10-20,19.770000457763672,19.8700008392334,19.57999992370605,14.821775436401367,11000,VPA 20 - GHG Emission Reduction through use of Bondhu Chula (Improved Cook Stoves) in Bangladesh,61.0
2020-10-21,19.38999938964844,19.43000030517578,19.100000381469727,14.677948951721191,6300,"Oneida Herkimer Landfill Ava, NY",106310.0
2020-10-21,19.38999938964844,19.43000030517578,19.100000381469727,14.677948951721191,6300,"Oneida Herkimer Landfill Ava, NY",45869.0
2020-10-22,19.415000915527344,19.489999771118164,19.40999984741211,14.693089485168455,1100,KIPRAH community based integrated waste management project Indonesia,720.0
2020-10-22,19.415000915527344,19.489999771118164,19.40999984741211,14.693089485168455,1100,KIPRAH community based integrated waste management project Indonesia,462.0
2020-10-27,19.38999938964844,19.65999984741211,19.350000381469727,14.797553062438965,1000,Restoring Wetlands on California Department of Water Resources-Owned Areas of Twitchell and Sherman Islands,683.0
2020-10-27,19.38999938964844,19.65999984741211,19.350000381469727,14.797553062438965,1000,Restoring Wetlands on California Department of Water Resources-Owned Areas of Twitchell and Sherman Islands,170.0
2020-10-30,19.1299991607666,19.36899948120117,19.100000381469727,14.63253116607666,71000,Erie County Landfill,37540.0
2020-10-30,19.1299991607666,19.36899948120117,19.100000381469727,14.63253116607666,71000,Erie County Landfill,48306.0
2020-10-30,19.1299991607666,19.36899948120117,19.100000381469727,14.63253116607666,71000,"El Dorado Nitrogen, LP - Nitrous Oxide Abatement Project",327107.0
2020-10-30,19.1299991607666,19.36899948120117,19.100000381469727,14.63253116607666,71000,"El Dorado Nitrogen, LP - Nitrous Oxide Abatement Project",140095.0
2020-11-02,19.209999084472656,19.290000915527344,18.8799991607666,14.487944602966309,3000,Yippee Farms,2244.0
2020-11-02,19.209999084472656,19.290000915527344,18.8799991607666,14.487944602966309,3000,Yippee Farms,5437.0
2020-11-02,19.209999084472656,19.290000915527344,18.8799991607666,14.487944602966309,3000,GTR Solid Waste Landfill,21599.0
2020-11-03,19.54400062561035,19.90999984741211,19.54400062561035,14.988311767578123,2600,OHE DM4-3,3369.0
2020-11-03,19.54400062561035,19.90999984741211,19.54400062561035,14.988311767578123,2600,OHE DM2-1,909.0
2020-11-06,20.68000030517578,20.799999237060547,20.40999984741211,15.450074195861816,6000,Montesol - Forest Carbon Partners Improved Forest Management Project,8050.0
2020-11-06,20.68000030517578,20.799999237060547,20.40999984741211,15.450074195861816,6000,Montesol - Forest Carbon Partners Improved Forest Management Project,3830.0
2020-11-06,20.68000030517578,20.799999237060547,20.40999984741211,15.450074195861816,6000,Montesol - Forest Carbon Partners Improved Forest Management Project,3830.0
2020-11-09,20.63999938964844,21.0,20.55500030517578,15.765735626220703,3400,Charlotte County Zemel Road Landfill Gas Capture Project,31094.0
2020-11-10,20.959999084472656,20.959999084472656,20.82999992370605,15.78390407562256,1500,Finite Carbon - NEFF,2495.0
2020-11-10,20.959999084472656,20.959999084472656,20.82999992370605,15.78390407562256,1500,Finite Carbon - NEFF,2495.0
2020-11-10,20.959999084472656,20.959999084472656,20.82999992370605,15.78390407562256,1500,Finite Carbon - NEFF,2495.0
2020-11-10,20.959999084472656,20.959999084472656,20.82999992370605,15.78390407562256,1500,Finite Carbon - NEFF,2495.0
2020-11-10,20.959999084472656,20.959999084472656,20.82999992370605,15.78390407562256,1500,Finite Carbon - NEFF,2495.0
2020-11-10,20.959999084472656,20.959999084472656,20.82999992370605,15.78390407562256,1500,Finite Carbon - NEFF,9803.0
2020-11-10,20.959999084472656,20.959999084472656,20.82999992370605,15.78390407562256,1500,Dubuque Metropolitan Sanitary Landfill,50419.0
2020-11-13,20.8700008392334,20.8799991607666,20.600000381469727,15.669601440429688,2400,T&M Hidden View Dairy,10513.0
2020-11-13,20.8700008392334,20.8799991607666,20.600000381469727,15.669601440429688,2400,CSE Arizona Facility,15571.0
